# id ,pocet_rovnakych_z_10, prienik
#
0, 4, ["trestneho", "trestne", "lipsic", "pripade"]
1, 5, ["somnaivny", "naivni", "spolocne", "ludia", "hlavkovej"]
2, 8, ["https", "return", "book", "fast", "share", "flying", "manchaster", "bratislava"]
3, 3, ["pise", "forejt", "hoci"]
4, 5, ["zlutytrabant", "serialu", "klik", "motorky", "mrknete"]
5, 5, ["kofola", "kofoly", "vanoce", "reklamy", "nechci"]
6, 6, ["cine", "vstupenky", "decembra", "mozete", "html", "cinemax"]
7, 4, ["komentare", "podzim", "misa", "bych"]
8, 7, ["foxytouch", "quiz", "play", "multiplayer", "photomatic", "vedomostnu", "google"]
9, 4, ["slovensko", "digital", "hackathon", "idea"]
10, 5, ["gandulf", "youtube", "video", "funny", "cray"]
11, 7, ["facebook", "events", "vlady", "volby", "slusnosti", "svojej", "bonaparte"]
12, 8, ["myequa", "bottle", "collections", "collection", "winter", "urban", "bottles", "jungle"]
13, 5, ["pavilonu", "trhy", "prijdte", "strednich", "skol"]
14, 7, ["zitra", "cena", "doplnujeme", "korun", "zakaznici", "cenu", "nakoupit"]
15, 7, ["zadne", "ceskyprojekt", "cistsi", "credit", "najdes", "startitup", "budovu"]
16, 6, ["marcove", "zlaty", "bazant", "casnicku", "pivo", "opytat"]
17, 6, ["mbstyle", "motyliky", "sutaz", "drevene", "motylik", "reklamu"]
18, 9, ["namestovobuducnosti", "naoravedobre", "nasej", "orave", "spisskom", "kultury", "hrhove", "marian", "videu"]
19, 4, ["tyden", "univerzitu", "najdete", "informaci"]
20, 5, ["reynolds", "tonight", "noted]", "unless", "charleston"]
21, 8, ["oravadnes", "html", "item", "spravy", "vsetky", "krvi", "orave", "foto"]
22, 6, ["pozrite", "skvely", "svet", "napad", "dokonca", "umelcov"]
23, 6, ["nejhezcimistanasvete", "najkrajsiemiestanasvete", "turkey", "beach", "cave", "ostrovsky"]